"VISSTD","VISSTD",-64.44444444444444,-2.032674772036476
"CLASSIC","CLASSIC",-56.12903225806452,-3.989087618875776
"VIETNMS","VIETNMS",-55.38461538461539,0.08509258884070246
"MESTU","MESTU",-53.125,-9.337958947672748
"LATIN","LATIN",-50.0,7.340946166394766
"JAPAN","JAPAN",-47.939262472885034,2.0380912008720182
"RELIGST","RELIGST",-47.00854700854701,-5.6672325976231
"GREEK","GREEK",-42.10526315789474,15.793283149971028
"ITALIAN","ITALIAN",-41.42259414225941,-3.5318061497993827
"PORTUG","PORTUG",-40.714285714285715,3.120197704050914
"MILSCI","MILSCI",-36.8421052631579,0.5985267034990752
"CIVENG","CIVENG",-36.51960784313726,2.865083285193976
"ETHSTD","ETHSTD",-35.810810810810814,1.4478583289499205
"ENE,RES","ENE,RES",-35.55555555555556,6.671339438577936
"PUNJABI","PUNJABI",-33.333333333333336,11.075949367088594
"CELTIC","CELTIC",-31.884057971014492,-10.24619679739666
"LEGALST","LEGALST",-27.513227513227513,11.875415169273415
"ENVDES","ENVDES",-27.058823529411764,0.4140478881244587
"HIN-URD","HIN-URD",-25.925925925925927,-1.3258317025440118
"ART","ART",-22.123893805309734,0.3796504406458821
"HISTORY","HISTORY",-21.862011637572735,0.6720195007908315
"AMERSTD","AMERSTD",-21.75226586102719,3.078570206734783
"ENGLISH","ENGLISH",-20.907928388746804,1.6336733916396664
"ANTHRO","ANTHRO",-20.825852782764812,-8.21172900008717
"POLSCI","POLSCI",-19.644238205723124,1.0398390299003877
"THAI","THAI",-18.181818181818183,-8.333333333333337
"ARABIC","ARABIC",-17.94871794871795,1.0940775681341786
"AFRICAM","AFRICAM",-17.79935275080906,4.01996037106238
"ENGIN","ENGIN",-17.76504297994269,5.605012304702636
"UGBA","UGBA",-15.03785271851342,-0.32314556725923377
"PSYCH","PSYCH",-14.669926650366747,1.5494164156924561
"INTEGBI","INTEGBI",-12.774613506916191,-7.649291130133357
"NUCENG","NUCENG",-10.465116279069768,-3.4782765980537738
"SASIAN","SASIAN",-10.365853658536585,-0.10703861729413233
"SLAVIC","SLAVIC",-9.62962962962963,3.187461129570405
"CHEM","CHEM",-7.897310513447433,1.923917564327257
"HISTART","HISTART",-7.526881720430108,-1.2800113961214368
"SCANDIN","SCANDIN",-7.368421052631579,1.039767625370775
"ISF","ISF",-7.03125,5.974683704040987
"KOREAN","KOREAN",-6.923076923076923,-1.1026749385951258
"CHINESE","CHINESE",-6.8807339449541285,-0.6601672763293548
"SPANISH","SPANISH",-5.857142857142857,3.5868854546415894
"DEMOG","DEMOG",-5.454545454545454,2.462096808830482
"PACS","PACS",-4.8582995951417,4.177005623924535
"THEATER","THEATER",-4.703476482617587,5.939940186645017
"NESTUD","NESTUD",-4.6875,6.2039097207236065
"CHICANO","CHICANO",-3.125,-1.987618116650375
"EDUC","EDUC",-2.5,-3.316392454130398
"ASAMST","ASAMST",-1.486988847583643,1.0752353446437166
"SOCIOL","SOCIOL",-1.141769743101808,4.186352036716708
"PERSIAN","PERSIAN",0.0,-0.46874999999999556
"PHILOS","PHILOS",1.680672268907563,-1.7955462161171258
"FILM","FILM",4.0,-0.15126125795548642
"COLWRIT","COLWRIT",5.851063829787234,4.748722515531219
"EPS","EPS",7.083333333333333,-3.229357535842685
"INDENG","INDENG",7.9178885630498534,1.2390813622534218
"PHYSICS","PHYSICS",8.57487922705314,-0.7220664188251888
"LDARCH","LDARCH",8.695652173913043,-3.734741784037537
"ESPM","ESPM",9.745127436281859,1.8832583220561303
"NATAMST","NATAMST",10.344827586206897,-0.40705026873221917
"MECENG","MECENG",11.554621848739496,1.7849752881829832
"L&S","L&S",11.848341232227488,-5.649645368580753
"ASTRON","ASTRON",12.32876712328767,-7.208509809649026
"MATSCI","MATSCI",12.568306010928962,0.3940871823521329
"COMLIT","COMLIT",12.850467289719626,-8.645636739462574
"LINGUIS","LINGUIS",13.002364066193854,-7.106351439218876
"NUSCTX","NUSCTX",14.440825190010857,5.560548763165892
"ARCH","ARCH",15.151515151515152,-0.9265192352361675
"FRENCH","FRENCH",16.972477064220183,0.8920099357790999
"DEVSTD","DEVSTD",17.77777777777778,-2.1238266805726873
"RHETOR","RHETOR",19.718309859154928,4.55458920881537
"GEOG","GEOG",19.844357976653697,-5.653560957527698
"ECON","ECON",20.17994858611825,4.0079892765248
"COGSCI","COGSCI",21.568627450980394,-1.6719839300484602
"BIOENG","BIOENG",24.031007751937985,-3.3681937172774785
"IAS","IAS",25.0,-7.317460317460349
"S,SEASN","S,SEASN",25.0,0.16763378465505996
"SOCWEL","SOCWEL",25.641025641025642,1.0897780164697657
"LATAMST","LATAMST",26.923076923076923,-0.30159414045670113
"MUSIC","MUSIC",29.133858267716537,1.194166679506341
"ASIANST","ASIANST",31.57894736842105,8.730831973898857
"NAVSCI","NAVSCI",35.714285714285715,29.11793372319688
"GERMAN","GERMAN",35.81395348837209,-6.008081242222359
"ELENG","ELENG",38.445378151260506,-4.012951619206149
"LGBT","LGBT",38.46153846153846,2.1450952036635513
"CYPLAN","CYPLAN",39.39393939393939,-2.219907470035975
"UGIS","UGIS",40.0,-1.0456034265558014
"MATH","MATH",42.1163464069492,1.6385408435357804
"PBHLTH","PBHLTH",45.53314121037464,-0.806747922455056
"ENVECON","ENVECON",54.248366013071895,2.7106008019678605
"SEASIAN","SEASIAN",54.54545454545455,-5.461648260836901
"STAT","STAT",62.144821264894595,1.609972038556706
"CHMENG","CHMENG",65.39923954372624,-7.087154282603685
"PLANTBI","PLANTBI",75.39682539682539,-0.21274681201153034
"GWS","GWS",94.0,0.6299148716700534
"PUBPOL","PUBPOL",112.03703703703704,5.695346109190727
"MALAY/I","MALAY/I",281.8181818181818,4.3264336613505305
"COMPSCI","COMPSCI",321.7506631299735,5.4600073991860905
